120,https://t.co/Gk1Dur2Efn
121,"https://t.co/q4hdROc2if

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
122,"https://t.co/hf6aYlL1wQ

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
123,https://t.co/aTLBXekScI
124,"https://t.co/HYbpbz61u6

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh https://t.co/UvpnbWVzfE"
125,"https://t.co/35ZSWYkNq0

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
126,"Absolutely superb trailer!

https://t.co/3SA1y18uZ6

@iamsrk | @AnushkaSharma | #KatrinaKaif"
127,"Guys, I know what I am doing tonight at 9!
https://t.co/0TRFTF6YYr"
128,"Happy Birthday Shah! Health and happiness always!  
Love. 
a.
@iamsrk https://t.co/E53eQvq974"
129,"Guys, I just saw the trailer of Zero. Just one word... OUTSTANDING!!! Congratulations @aanandlrai ! #Katrina is fantastic! @AnushkaSharma is unbelievable! 
@iamsrk, you have outdone yourself! 
Can't wait to to watch the film! 
Love. 
a."
130,"I'm such a huge fan of Ajay-Atul. Have been wanting to work with them for the longest time. Finally, it happened! And Amitabh Bhattacharya is an absolute delight.  
Thank you guys for some great tracks! 
Love.  
a.

https://t.co/d3GoxrvDtt

@AjayAtulOnline | @OfficialAMITABH"
131,"Hey guys, check this out.  Looks very intriguing to me.  
Love.  
a.
https://t.co/jFGpTwQ9I4"
132,"Hey guys, you can watch the repeat telecast of the #SatyamevJayate episode on alternate sexualities, on Sunday 4th Nov at 11am as part of the #KhulKeBaat series on @StarPlus https://t.co/GTatFvbSCM"
133,"Shooting in Poda Nui was such a great experience. What a beautiful location! 
The snakes were great company too :)

https://t.co/qdWCyNGxGZ

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
134,"https://t.co/5xyEsPcvNq

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
135,"What an exciting day I have had! Just finished shooting for KBC with Mr.Bachchan. Had so much fun. Sir, sorry for all my requests! Couldnt control myself!
@SrBachchan https://t.co/6r3ebz3S9F"
136,"#ExperienceChange with @DatsunIndia’s redi-GO

https://t.co/SoYVPPqMXi"
137,"Meri jaan to le chuki hai... Suraiya.

https://t.co/OlBeRfkFbY

#ThugsOfHindostan
#katrinakaif | @TOHTheFilm"
138,"Here is the full audio version of Vashmalle...which by the way means celebrate.

https://t.co/DQEdiEu0RY

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
139,https://t.co/DvkffkAzLP
140,"Just imagine...not only do I get to act with Mr.Bachchan, dance with Mr.Bachchan, but also fight with Mr.Bachchan. Meri toh Diwali!

https://t.co/6882sow9Pj

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
141,"The ships of Thugs of Hindostan are one of the superstars of the film. Watch :)

https://t.co/GHSY6do4cN

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
142,"Wishing everyone a very happy Dussehra!
Love,
a"
143,"Diwali pe milenge.
Love,
a

https://t.co/aJS7pTLHfR

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
144,"Vashmalle was a dream song for me! Had a ball :)

https://t.co/nJFEv51M6c

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
145,"And here is the next one...
#ExperienceChange @DatsunIndia
https://t.co/yrm4XVnpOY"
146,"Was so excited to do a song with Mr Bachchan, that for the 1st time in my career I have enjoyed dancing!!! Had a ball :-)

https://t.co/Rd8g5rp8yN

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
147,"Hey guys, here is our second poster. 
Love,
a.

https://t.co/bxC6saOchq

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
148,"Hey Guys,  
Checkout my new ad.
#ExperienceChange with Datsun. 
Love, 
a.
https://t.co/Iv3Vzky5Z5"
149,https://t.co/NidpxviA95
150,"My Photographer friend @avigowariker is part of this year’s  annual #ProudFathersForDaughters at Mehboob Studios tomorrow &amp; day after. It’s a great initiative where India’s best known photographers take Father/Daughter portraits for @NanhiKali 
Register https://t.co/BnvpP1XmgU https://t.co/eupPZtm1KG"
151,"If Raj Kapoor was an institution in film making,  Krishnaji was an institution in living life. 
A very sad loss to all of us.  
My love and warmth to Randhirji,  Rishiji, Chimpuji,  Reema, Rituji and everyone in the family.  
We love you Krishnaji."
152,"@myhardikpandya Hey Hardik,  shubh ratri :-)"
153,"Waise,  aap ka swabhav to shaqq, din-raat mehnat,  aur satarkta hai. Bharosa to hum aap pe karte hain. Respect.  🙏 https://t.co/Jd3FiSHSuG"
154,"Sorry sir,  that was meant as a a reply to the Mumbai Police post."
